ScoreFMM_FID,CovCount,PointCount,ScoresWin,hwLenKM,Scores,VenueCnt,VALUE,YEAR
1413,0,0,0,0.067477,0,0,0.0692,506
1414,0,0,0,0.379462,0,0,0.0769,83
1415,0,0,0,1.167018,0,0,0.0769,83
1416,0,0,0,1.07588,0,0,0.0769,83
1417,0,0,0,1.006931,0,0,0.0712,291
1425,0,0,0,2.69216,0,0,1.2423,70
1426,0,0,0,2.734282,0,0,1.2115,132
1427,0,0,0,4.480208,0,0,2.2269,171
1428,0,0,0,2.272232,0,0,2.2269,171
1429,0,0,0,0.260627,0,0,0,0
1430,0,0,0,1.427716,0,0,0,0
1431,0,0,0,0.684986,0,0,0.075,95
1432,0,0,0,0.067835,0,0,0.075,95
1433,0,0,0,1.024966,0,0,0.0712,291
1441,0,0,0,0.212968,0,0,0.2615,42
1442,0,0,0,0.150821,0,2,1.2115,132
1444,0,0,0,0.99601,0,0,2.2058,144
1445,0,0,0,1.489128,0,0,0,0
1446,0,0,0,1.078934,0,0,0.0288,80
1447,0,0,0,1.129224,0,0,0.0288,80
1448,0,0,0,1.40774,0,0,0.0038,26
1452,0,0,0,0.849963,0,0,0.2615,42
1453,0,0,0,1.519042,0,0,1.2423,70
1454,0,0,0,0.35801,0,0,0.0269,60
1455,0,0,0,3.501477,0,0,2.2058,144
1456,0,0,0,3.020224,0,0,0,0
1458,0,0,0,1.238894,0,0,0.0288,80
1459,0,0,0,0.258116,0,0,0.0288,80
1460,0,0,0,1.077427,0,0,3.6596,291
1461,0,0,0,0.081987,0,0,0.0038,26
1462,0,0,0,1.077679,0,0,0.0038,26
1463,0,0,0,0.373341,0,0,0.0712,291
1468,0,0,0,0.505486,0,0,0.0827,12
1469,0,0,0,1.038951,0,0,0.025,51
1470,0,0,0,0.398856,0,0,0,0
1471,0,0,0,0.226362,0,0,0.4962,202
1472,0,0,0,0.842902,0,0,0.0288,80
1473,0,0,0,1.043583,0,0,3.6596,291
1474,0,0,0,0.529896,0,3,4.6788,383
1475,0,0,0,0.236257,0,0,0.0038,26
1476,0,0,0,0.121781,0,0,0.0038,26
1477,0,0,0,0.4878,0,2,0.3962,265
1484,0,0,0,1.880216,0,0,0.0827,12
1485,0,0,0,1.326405,0,0,0.0538,25
1486,0,0,0,1.234691,0,0,2.1173,2977
1487,0,0,0,1.379992,0,0,0.025,51
1488,0,0,0,0.54203,0,0,0.025,51
1489,0,0,0,0.034558,0,0,0.4962,202
1490,0,0,0,0.204493,0,0,0.0038,26
1491,0,0,0,1.237156,0,0,0.0038,26
1494,0,0,0,0.31444,0,0,0.0827,12
1495,0,0,0,0.284471,0,0,0.0538,25
1496,0,0,0,2.039641,0,0,0.0538,25
1498,0,0,0,1.986398,0,0,0.025,51
1499,0,0,0,0.419169,0,0,0.4962,202
1500,0,0,0,0.162236,0,0,0,0
1501,0,0,0,1.224126,0,0,1.2288,104
1502,0,0,0,1.153975,0,0,1.2288,104
1503,0,0,0,0.154274,0,2,1.2288,104
1509,0,0,0,1.21786,0,0,0.025,51
1510,0,0,0,0.031622,0,0,4.2385,405
1511,0,0,0,1.518384,0,0,0.3769,167
1512,0,0,0,1.151065,0,0,0.3769,167
1513,0,0,0,3.000243,0,0,0.0442,77
1514,0,0,0,0.670633,0,0,0.0442,77
1515,0,0,0,1.327134,0,0,0.0596,7
1516,0,0,0,0.015606,0,0,0.0442,77
1517,0,0,0,1.080403,0,0,0.1135,17
1518,0,0,0,0.092666,0,0,0.1,15
1519,0,0,0,1.880907,0,0,0.1,15
1520,0,0,0,0.947486,0,0,0.1135,17
1521,0,0,0,0.321007,0,0,0.1135,17
1522,0,0,0,0.791307,0,0,0.1,15
1523,0,0,0,1.648738,0,0,0.1,15
1524,0,0,0,1.214515,0,0,0.0269,15
1525,0,0,0,1.027096,0,0,0.0269,15
1526,0,0,0,0.082942,0,0,0.0865,168
1527,0,0,0,1.473083,0,0,0.1135,17
1528,0,0,0,0.709967,0,0,0.0269,15
1529,0,0,0,0.137,0,0,0.0865,168
1530,0,0,0,2.094631,0,0,0.0865,168
1531,0,0,0,1.900883,0,0,0.0865,168
1532,0,0,0,0.103912,0,0,0.0058,4
1533,0,0,0,0.295843,0,0,1.4942,287
1534,0,0,0,0.763012,0,0,0.4923,158
1535,0,0,0,0.111816,0,0,0.0865,168
1536,0,0,0,0.418802,0,0,0.0865,168
1537,0,0,0,0.12942,0,0,1.275,199
1538,0,0,0,0.874354,0,0,0.1058,24
1539,0,0,0,1.125449,0,0,1.4942,287
1540,0,0,0,0.21307,0,0,17.2904,1094
1541,0,0,0,1.664636,0,0,1.275,199
1542,0,0,0,0.187289,0,0,0.1058,24
