scorepam_fid,covcount,pointcount,scoreswin,hwlenkm,scores,venuecnt,userdayspa,dayspafina,sum_length,days_pa_km
177,9,1,0.009303,0.839803,0.009303,0,6.452036,6.452036,0.839803,7.6828
178,9,1,0.031034,0.251744,0.031034,2,0,0,0,0
179,9,3,0.073421,1.702516,0.073421,2,0,0,0,0
180,9,1,0.005782,1.351071,0.005782,0,0,0,0,0
181,10,1,0.002395,1.631239,0.002395,1,3.75,3.75,1.631239,2.298866
182,10,3,0.054548,1.14579,0.054547,3,7.5,7.5,1.14579,6.5457
183,9,3,0.178995,0.698343,0.178995,0,1.675141,1.675141,0.698343,2.398736
184,9,1,0.003671,2.128058,0.003671,5,3.933584,3.933584,2.416208,1.627999
185,9,2,0.03038,1.028624,0.03038,1,0,0,0,0
186,9,1,0.007725,1.011347,0.007725,1,0,0,0,0
187,9,1,0.006342,1.231817,0.006342,1,0,0,0,0
188,10,2,0.00766,2.039783,0.00766,3,8.83491,8.83491,2.039783,4.331298
189,10,1,0.012134,0.321913,0.012134,1,2.944613,2.944613,0.321913,9.147233
190,9,1,0.007019,1.112986,0.007019,2,0.243999,0.243999,1.112987,0.219229
191,9,5,1.686592,1.185823,1.686593,5,0.131372,0.259076,1.185823,0.218478
192,9,2,0.013195,2.368366,0.013195,0,0,0,0,0
193,9,1,0.001876,4.164341,0.001876,0,0.000289,0.000289,4.164341,0.000069
194,10,2,0.009486,1.647154,0.009486,2,3.75,3.75,1.647154,2.276654
195,10,1,0.006932,0.56355,0.006932,1,0,0,0,0
196,10,2,0.011549,1.35293,0.011549,1,0.44052,0.44052,1.35293,0.325605
197,10,4,0.120943,2.067093,0.120943,4,18.198204,18.198204,2.067093,8.803767
198,9,1,0.006399,1.220957,0.006399,1,0.135231,0.135231,1.220957,0.110758
199,9,1,0.002945,2.652804,0.002945,2,0,0,0,0
200,10,6,2.407572,1.661425,2.407572,5,24.505631,24.505631,1.661425,14.749767
201,9,1,0.006628,1.178777,0.006628,1,0.117211,0.942261,1.178777,0.799355
202,9,1,0.006524,1.197449,0.006524,1,0.267148,3.112682,1.197449,2.599427
203,9,1,0.020067,0.389323,0.020067,0,1.125818,3.291169,0.389323,8.453566
204,9,1,0.002302,3.394505,0.002302,1,0.056026,1.951823,3.394505,0.574995
205,0,0,0,0.445296,0,1,0,0,0,0
209,0,0,0,0.856256,0,1,26.498674,26.498674,0.856256,30.947155
210,0,0,0,0.585816,0,0,0,0,0,0
211,0,0,0,0.61397,0,0,0,0,0,0
212,0,0,0,0.712023,0,0,0,0,0,0
217,0,0,0,0.313388,0,0,2.197838,2.197838,0.313388,7.013148
218,0,0,0,1.184011,0,2,7.732807,7.732807,1.184011,6.531024
219,0,0,0,1.172506,0,0,4.081836,4.081836,1.172506,3.481292
220,0,0,0,3.08685,0,0,0,0,0,0
221,0,0,0,0.273959,0,0,0,0,0,0
223,0,0,0,0.214176,0,0,2.876757,2.876757,0.214176,13.431752
